Hospital_ID,Region,Hospital_Beds,Marketing_Spend,Doctor_Visits,Patient_Count,Avg_Patient_Age,Treatment_Success_Rate,SMS_Reminder_Sent,Hospital_Rating,Monthly_Sales
H070,West,100,18116.0,603.0,1035,68,0.9201064451253242,0,3.0299562272555964,91049.15702785744
H071,North,202,30470.0,474.0,760,68,0.9726150314124022,1,4.546837510185675,157611.50980307948
H072,Central,235,47344.0,662.0,1554,54,0.8724460984346676,0,3.306319944616038,142486.92210849485
H073,Central,112,47918.0,567.0,1068,62,0.716726393566646,0,2.557234562440301,161958.57412239836
H074,South,239,57224.0,741.0,1432,58,0.6528564753426139,1,2.8844778741700776,216243.8918889215
H075,Central,174,44298.0,331.0,1260,36,0.6571639428146825,1,3.059036086240778,205946.09517926196
H076,South,199,85219.0,369.0,301,43,0.8549671095809173,1,4.893307219736468,226037.66116002906
H077,North,363,66629.0,787.0,1559,61,0.8654601358951726,0,3.9326035723271233,197046.33069741388
H078,West,107,71040.0,492.0,412,68,0.5981759803388692,0,4.8318268511906375,185231.95278638223
H079,West,391,33016.0,364.0,216,41,0.9253801786103601,1,3.9379083762415625,160542.87165076897
H080,West,354,28960.0,926.0,1789,34,0.8503127796991014,1,3.6983861003446297,250740.26493017323
H081,Central,229,38591.0,790.0,1036,36,0.7757476403082575,1,3.28431922798524,88119.60931569836
H082,North,219,87848.0,426.0,1926,40,0.7310509054502312,1,4.015927361083439,217234.91924650714
H083,Central,375,72641.0,338.0,674,48,0.7661840748370795,1,2.8479950615438248,203922.66066489273
H084,Central,320,41395.0,486.0,343,43,0.5780304117568396,1,4.745654068231765,141680.30480340216
H085,North,103,27700.0,711.0,636,32,0.5998136121453743,0,,154718.47827774976
H086,North,493,39620.0,326.0,1725,55,0.5446706002990339,0,3.2938286196918427,101598.34956992569
H087,North,150,25559.0,759.0,174,45,0.5752924386989452,0,4.881993819003236,52802.04816752679
H088,North,313,98045.0,631.0,1929,41,0.7223098809565884,1,4.56300191853892,315631.8576566815
H089,West,102,98396.0,552.0,485,47,0.7598736529268455,1,4.165767214587599,268964.9639896416
H090,East,109,66642.0,673.0,1333,61,0.5087523273143765,1,2.804404777813187,267676.04988857626
H091,East,157,,565.0,574,40,0.8904309356533735,1,3.695585057620181,266645.4901595192
H092,North,54,26732.0,399.0,517,30,0.6441423069383041,1,3.765268887116877,122843.96738166094
H093,East,152,96362.0,892.0,446,32,0.9467996571303564,1,3.0813783959134504,288490.9326811567
H094,East,245,35354.0,495.0,1652,49,0.9740805191707511,0,2.699913485898255,258144.0129284103
H095,North,311,18843.0,879.0,739,42,0.5908748485915606,0,4.441809076179232,63365.100920312005
H096,East,414,76726.0,399.0,1038,49,0.7264276724751737,1,2.8050876303109877,262015.49168773874
H097,Central,421,22640.0,656.0,1054,36,0.5006035992315487,0,3.9857268764044367,45935.50064634463
H098,South,399,57528.0,713.0,975,39,0.7931803599099891,1,4.841122934709151,144411.61611302738
H100,North,404,57638.0,186.0,1302,65,0.6212945782456538,1,3.194381559373153,258431.1668309013
H101,West,360,57736.0,808.0,1305,69,0.773622209565767,1,4.628621593878163,221109.72152270094
H102,North,473,73866.0,948.0,763,50,0.6105146697974304,0,2.5008312653012235,218716.09657278124
H103,West,357,24087.0,292.0,124,56,0.5788044798483132,0,2.544219524033143,98969.31629772866
H104,South,193,46430.0,592.0,1303,34,0.8192445387331098,1,4.006382909607162,168907.39407122543
H105,North,318,29504.0,89.0,809,40,0.6597034773365167,1,3.4119955478613235,68926.33154304401
H106,Central,419,12114.0,278.0,1624,31,0.789229330053955,0,3.466152102897868,2903.557210588624
H107,East,173,83859.0,597.0,1979,41,0.7122909069961112,0,3.911102726697206,342839.6242256145
H108,West,155,15975.0,969.0,1284,47,0.9823321896274229,1,2.9794561389796517,119688.4064355021
H109,East,207,16023.0,272.0,276,50,0.5732945149071073,0,3.0293883766636958,168554.41867341194
H110,East,196,26447.0,55.0,384,45,0.727653312351547,1,3.711503967547162,123603.58102704398
H111,North,194,95469.0,371.0,162,46,0.8334237469160694,1,4.385633860859658,289158.48623805214
H112,East,169,28959.0,517.0,1102,31,0.6938170911011846,1,4.048744378518969,94707.28356915165
H113,Central,368,71203.0,781.0,761,38,0.977602927416638,1,3.243387620592097,177385.22180715416
H114,East,324,,124.0,765,39,0.8537249376841982,0,3.5758429437723027,96785.95077557764
H115,North,141,14337.0,53.0,255,31,0.8219220902066016,0,2.926661896374996,-12487.129710291541
H116,Central,107,51427.0,896.0,1592,33,0.8709590411294994,0,2.6865745358427042,230827.01903653773
H117,South,488,66529.0,695.0,1172,32,0.9667978326389713,0,4.4567401018603725,305165.1248848565
H118,East,395,89665.0,167.0,1066,47,0.9448311399624736,0,3.1634685229704864,239406.8866941435
H119,North,278,36921.0,930.0,948,53,0.8548998009819418,0,2.9444159696281207,203027.04861955985
H120,South,166,38307.0,655.0,1207,42,0.8670892031596287,0,4.229045138923299,113821.04648915716
H121,South,367,32355.0,553.0,1484,55,0.5715018162772213,1,4.045129185717965,119344.15808963244
H122,West,328,9835.0,996.0,788,54,0.5503682782014062,0,4.08297406503366,48739.30077172785
H123,Central,176,25159.0,623.0,247,63,0.7797432059036404,0,3.0722365121165343,-7144.151753525526
H124,East,442,52605.0,490.0,1753,59,0.5090001421008646,1,3.0816138464067024,184900.83250406946
H125,North,445,43088.0,243.0,441,42,0.7363546269602799,0,3.052006574464098,137357.58687988765
H126,West,178,83752.0,896.0,575,66,0.6030712941602456,0,,317878.0499380819
H127,Central,107,60284.0,764.0,1186,63,0.6695481181459714,1,4.1393091814041405,247541.91263346438
H128,West,171,62043.0,441.0,1824,41,0.8801443205385484,0,4.620039713123504,246675.14495194977
H129,Central,50,40547.0,75.0,1483,38,0.9612063770738694,0,4.310793674191653,79160.68884410616
H130,Central,288,87844.0,484.0,660,55,0.5354839733517074,0,4.480234084401358,279564.8653035346
H131,East,339,32532.0,222.0,426,48,0.7617786809284581,1,3.5119960727129995,181339.6982740796
H132,Central,145,39349.0,349.0,1892,59,0.9324414080516039,0,4.135189488429996,164645.89253545407
H133,West,175,50445.0,694.0,1859,68,0.5404291818758065,0,3.3855906011119363,281877.18065324984
H134,Central,167,10713.0,375.0,1264,69,0.9040118829794486,1,3.8137615549215997,167110.80555599317
H135,East,97,61178.0,459.0,1089,58,0.6753226619548529,0,3.704087116337156,179776.58648541773
H136,East,138,54407.0,167.0,314,27,0.6578264040874743,1,2.942217862859636,115610.51274597141
H137,West,286,75340.0,885.0,534,61,0.9789585292942451,1,3.4676969008390772,205396.8917290525
H138,South,422,55990.0,836.0,1051,67,0.5984209540325242,0,4.909555688705877,125953.208994839
H139,South,434,80672.0,773.0,822,64,0.8396650310031136,1,3.1214506442873553,231079.8550292239
H140,Central,321,70545.0,274.0,1441,50,0.9025059567248346,1,2.834509340698722,275270.7724878123
H141,North,238,89791.0,581.0,131,47,0.5201799126868432,0,3.5464515540598383,147670.621237438
H142,Central,241,63141.0,162.0,769,68,0.828488874593662,1,4.47584433965037,128024.82996431268
H143,West,496,28793.0,189.0,384,63,0.9662594874341102,1,3.9553705744499306,85795.92791740011
H144,West,118,61570.0,608.0,1428,39,0.5608677836967491,0,,163065.739968915
H145,West,327,42892.0,50.0,528,28,0.9391484383156687,0,2.974237120436693,94555.70278798898
H146,West,398,6015.0,139.0,1600,53,0.7914405523146987,0,4.0473704825193035,24351.01627888482
H147,West,296,66813.0,703.0,385,46,0.8021362451126123,1,3.3087509872786844,198040.48899691255
H148,East,125,32712.0,369.0,1267,49,0.8003426456841469,0,4.585758414886919,84012.26519451306
H149,South,203,13415.0,599.0,1547,37,0.6464295843052837,1,4.0732470150268405,48161.839307222595
H150,West,193,67292.0,854.0,1142,42,0.9582488894967353,1,2.9971406944382397,276705.4872960616
H151,North,484,28833.0,943.0,117,57,0.9642017266892089,1,,178310.20889301726
H152,North,135,9158.0,188.0,868,40,0.8063992835048344,1,2.6065830232175817,-22362.167262370465
H153,North,234,67680.0,560.0,689,69,0.8838771357113913,1,3.428521419125352,71895.13003635581
H154,North,334,,917.0,1494,66,0.8000064130817675,1,3.1646278416357836,188041.24247854654
H155,East,269,11970.0,894.0,1298,68,0.7373552393112799,1,4.11522530865627,35344.97907239312
H156,North,118,77474.0,308.0,1109,26,0.8238018579666329,0,3.7483345874465455,237537.24192298698
H157,West,96,91704.0,722.0,293,59,0.7709707117700596,0,3.1650481950134517,192431.40634858914
H158,Central,143,51540.0,951.0,601,66,0.7927631726896458,1,2.8730944448754405,251732.7492629836
H159,North,287,25384.0,739.0,1087,58,0.8840779511752423,1,2.817999406718624,246768.3947650764
H160,East,495,23017.0,59.0,1236,54,0.7356428774100026,0,4.661650980351045,93122.84546026684
H161,East,253,80880.0,310.0,213,37,0.5199695119853116,1,3.108694921012168,218719.86757702415
H162,North,449,13702.0,968.0,1345,37,0.5803597456848536,0,4.129276619777421,91213.0212404968
H163,Central,267,5384.0,699.0,1801,42,0.7149175360798738,0,4.526714819965665,117184.96556564559
H164,North,481,5404.0,221.0,1046,56,0.8551650143382885,0,,73444.33754672928
H165,East,390,45943.0,947.0,930,56,0.7907065376719875,1,4.6489130791173645,230232.42267764325
H166,South,88,52926.0,62.0,1767,59,0.8186441510779924,1,3.4809843038211863,131404.17387009587
H167,West,149,34189.0,217.0,1387,63,0.7348466750023808,0,4.890555476622371,135623.38532023225
H168,East,338,17763.0,691.0,1024,53,0.801713590751699,0,2.8328625104452425,70574.0966646902
H169,North,303,23384.0,645.0,154,53,0.6612185445291845,0,2.7553738241438452,43164.217596497285
H170,West,271,65100.0,370.0,1994,68,0.7303894704213658,0,4.146730365518609,211819.22894982682
H171,North,406,14860.0,368.0,1766,40,0.8646967421415283,0,4.857077853533154,39974.36348114589
H172,North,72,85642.0,662.0,899,68,0.9271980616968294,1,4.52220865409082,320096.34988712944
H173,South,299,55612.0,378.0,877,34,0.7124911136386305,0,,130978.98109920885
H174,West,59,28574.0,834.0,1581,54,0.521394212276607,1,3.198419284836791,155617.29703436798
H175,West,295,28524.0,826.0,261,49,0.5792195466319333,0,4.825797212094559,89303.88506201388
H176,South,374,74172.0,960.0,1503,63,0.5102219582528537,1,3.1326460820019615,273568.1375218756
H177,East,149,15916.0,969.0,186,44,0.8200988794262918,1,4.452926059467298,66320.17132723218
H178,North,339,9809.0,599.0,154,29,0.6628341664240034,1,4.56283048982176,-2688.063742876875
H179,Central,229,37201.0,468.0,1599,25,0.76581453150249,1,3.7386302586524547,166866.13704759226
H180,North,272,58330.0,655.0,1923,54,0.7417056549240618,1,3.465872274620789,198369.2189043389
H181,North,443,18456.0,144.0,1301,27,0.5399479798806891,1,3.625311081049399,91584.24703612296
H183,North,196,43765.0,630.0,1472,38,0.6080749512119384,1,4.72347729032211,98555.6743115774
H184,South,491,39816.0,367.0,1131,54,0.7050158964471498,0,3.6265491418243947,193923.9298528128
H185,South,145,50106.0,285.0,932,28,0.599753357367699,1,4.706148601140249,191782.8877720544
H186,West,306,58932.0,995.0,412,42,0.9118216790756974,1,2.7642336997656853,177971.9512223378
H187,Central,374,22100.0,383.0,858,61,0.5853547349233443,0,4.970688177500328,94498.9606749399
H188,North,53,62091.0,934.0,1958,49,0.9707824702286187,1,3.6081827186090454,283928.4741581468
H189,North,65,26949.0,425.0,542,25,0.703794609412001,0,2.6195770509852636,74550.58320688015
H190,East,329,75080.0,508.0,1890,39,0.9146601930893341,0,2.595054620593637,229645.7747404724
H191,South,385,42744.0,186.0,427,33,0.808094760920913,0,4.3655181437045965,138596.6250003687
H192,Central,296,50543.0,979.0,1177,39,0.8603216463462188,0,4.147588835509202,172967.9468222707
H193,West,307,97193.0,637.0,860,48,0.8761847051527223,1,4.505326395318969,333657.0998493511
H194,South,433,41187.0,596.0,1362,28,0.7473739921275787,1,2.763418834882015,149082.4609846281
H195,West,209,12239.0,562.0,1352,36,0.7662172564480113,0,2.5889271675888708,41865.7062503013
H196,East,389,19489.0,345.0,678,61,0.7518579752262753,1,3.771448223618946,110464.44149369973
H197,East,201,63017.0,,1174,61,0.7881486052641389,1,3.468988078706924,138505.96752843267
H198,North,445,66877.0,967.0,1732,67,0.5144032784206886,0,3.6548673416773894,346716.4280562107
H199,Central,227,48125.0,621.0,1727,30,0.6938024332260175,1,4.978971022175685,258662.31817901012
H200,West,212,54922.0,881.0,1106,63,0.797032469644974,0,4.926874894176676,225739.77384605075
H201,South,429,99074.0,398.0,1387,48,0.7928845469753736,0,4.855788474182982,314146.5510909951
H202,East,82,37049.0,889.0,1541,35,0.8885484863567594,1,4.459606691919184,180129.5708909649
H203,North,466,,,1926,37,0.8209545760277333,1,3.387103400642226,155822.76070405464
H204,North,494,47944.0,922.0,195,58,0.9861453250069294,1,3.5303273256569287,188690.4822840421
H205,West,228,78963.0,278.0,1211,49,0.639088719018236,0,3.874040109297311,185595.8694771076
H206,East,476,29285.0,319.0,1201,31,0.6759840045364534,0,4.576336141012099,137128.42092200907
H207,Central,150,42626.0,877.0,1411,28,0.6880851044152202,1,2.671782081295669,216472.34715156478
H208,East,317,47808.0,847.0,1243,32,0.7282482754399218,1,3.5607422147122203,164780.69495083328
H209,West,372,93464.0,340.0,913,44,0.9096390512527925,1,2.7065441586481715,238319.91029226402
H210,West,114,58871.0,,590,53,0.6155381260400128,1,3.786643966433779,135243.64876760452
H211,East,466,24198.0,214.0,551,69,0.8802401014473604,0,4.7472520600155885,157017.76167828456
H212,West,217,24758.0,54.0,1623,34,0.6986019897120143,1,4.456212311409844,65326.79830788943
H213,East,379,20254.0,900.0,264,67,0.7949091379943842,0,3.069606043857775,93448.04819916884
H214,South,92,49238.0,428.0,281,58,0.8099448612808899,0,4.9399771239969805,164637.77924978628
H216,East,334,44764.0,459.0,1009,65,0.7511814505508445,1,2.5260692484935077,190663.00478405348
H217,West,446,82709.0,623.0,834,27,0.7023852755773715,1,3.1385337117130487,235926.00400808358
H218,West,61,42441.0,181.0,922,30,0.5338750652314436,0,3.1517832497997915,72659.10307645434
H219,North,144,97234.0,650.0,1043,29,0.714211040520245,1,2.6731357657146497,226986.7345513842
H220,North,351,58682.0,,106,29,0.5477227623512406,1,4.899566295189823,162742.23835785768
H221,South,435,64494.0,91.0,429,47,0.6984601915493576,0,3.6956382364398093,128977.4762662688
H222,North,302,86317.0,138.0,874,33,0.7905300159175731,1,4.739536493429705,223641.6647346121
H223,East,291,70215.0,451.0,1796,59,0.7839133006783154,0,3.3055387586115708,293316.44053799915
H224,West,84,,345.0,250,44,0.8246844267140769,1,2.8130839260820677,211943.58970581554
H225,North,264,11949.0,889.0,1208,66,0.5466781388977668,0,3.6858402747655346,76199.95693327216
H226,North,386,60393.0,344.0,246,59,0.8195403903099145,1,2.784891586785793,174912.56118721058
H227,South,139,78553.0,665.0,1747,42,0.652952547781259,1,3.7150387574438497,236946.25043939668
H228,South,313,11941.0,575.0,1504,41,0.6955325136071844,0,4.80074295304852,80922.9382140903
H229,East,142,30934.0,849.0,1014,48,0.9204132644221259,0,3.8019203545855316,163458.4611240673
H230,West,459,28386.0,740.0,1671,27,0.5044248980234797,1,,181857.5527381657
H231,South,139,66886.0,686.0,1408,56,0.7883221903368967,0,2.8915960924345208,274185.65998695116
H232,North,467,80745.0,471.0,799,59,0.7933698502490527,0,2.609339064699924,344910.111036551
H233,West,164,88251.0,914.0,181,62,0.6943632904083453,0,2.7770199054495177,299150.4723086219
H234,West,154,,72.0,613,37,0.6161436499830847,0,3.996328939210914,374698.9450674654
H235,North,440,,624.0,914,49,0.61499027874816,1,2.7375292474807615,156518.40959701786
H236,South,245,61800.0,192.0,808,33,0.9330177381337688,1,3.4399822248532788,283234.24512122927
H237,North,363,47318.0,714.0,1646,28,0.7165919431536002,0,3.8752298511453898,163296.1972890205
H238,West,163,75173.0,194.0,845,38,0.6621357878646943,0,3.471631996574618,197836.55346184823
H239,Central,124,75390.0,274.0,1122,61,0.7199010111773875,0,2.909209503663254,214251.37262885633
H240,Central,462,57329.0,,1509,58,0.828001296715087,0,3.1844782687852664,187246.46444206344
H241,East,425,48088.0,870.0,806,35,0.5714207184399284,1,4.820793832121442,184352.01983632517
H242,North,469,44811.0,665.0,570,65,0.7202225792547314,1,4.189955688965888,129516.09987557803
H243,North,266,60479.0,153.0,1242,27,0.7880633418440897,0,3.7401195966997163,221635.6086535686
H244,East,326,90392.0,996.0,495,52,0.9648058438772025,0,,258823.248268941
H245,East,298,,88.0,1655,53,0.6237386132169555,0,4.981038501223676,295908.0199126446
H246,East,213,24963.0,996.0,360,33,0.6760328664789603,1,4.178637337236609,196123.68097618822
H247,West,443,60123.0,247.0,904,27,0.6858857090619876,0,3.2923061933623625,162792.381509613
H248,North,406,97705.0,695.0,1033,49,0.7967136972459925,1,4.698171649994595,338286.67089895887
H249,West,457,78477.0,,1379,58,0.6747987059896008,0,3.1460790507295453,280805.46444515925
H250,East,241,19388.0,440.0,1857,36,0.7614208433968508,1,3.860041447956879,213379.3441109875
H251,North,276,,228.0,1004,66,0.8830772616240644,0,4.090176909324563,30400.971757752497
H252,West,226,,603.0,1349,33,0.8456389411149797,1,3.052658428634321,279488.5808402892
H253,West,148,41586.0,497.0,1176,39,0.7187206367911669,0,4.94599319700149,66634.44541117235
H254,East,85,17015.0,,1039,64,0.9234659270603427,0,4.370479764947493,61629.57946315935
H255,North,145,50002.0,64.0,1990,49,0.7734887223009927,0,3.8945330637776747,177174.6418798454
H256,East,201,11254.0,672.0,1623,29,0.764553861356084,1,2.9514864954382523,157747.99845448905
H257,North,200,22144.0,718.0,1629,35,0.5167520053101875,0,2.6346455174950654,56398.33175078986
H258,Central,239,29214.0,338.0,953,58,0.9834795603750092,1,3.300149581302459,145924.53203705553
H259,South,273,85719.0,527.0,1487,48,0.5602556961795171,1,4.382968339783507,262521.327175852
H260,South,86,,280.0,1403,39,0.6132541470895468,0,3.1733282457550627,151763.61733038438
H261,South,317,11090.0,972.0,692,62,0.5253314502483483,0,3.848890551238763,98954.3422974395
H262,East,418,16637.0,469.0,813,32,0.8136014537500877,0,4.319867941826858,166875.56164891057
H263,Central,232,27415.0,206.0,1281,29,0.6101035767166132,1,2.769859286616161,44351.36700441915
H264,North,62,29071.0,599.0,731,50,0.5882051143616345,0,4.213245040289683,108715.61423149082
H265,West,328,63243.0,490.0,158,42,0.5433922362693883,1,2.7296772192751115,138925.5507680217
H266,North,266,46240.0,146.0,1850,30,0.5506213889907676,1,4.9128243553174915,129880.85340449921
H267,West,404,88807.0,460.0,227,61,0.7864886432168685,0,3.7209853251623493,324071.00717623165
H268,North,410,38434.0,338.0,835,37,0.8372218542746317,0,2.8766902692746936,116033.77622543088
H269,Central,335,74724.0,303.0,820,52,0.6947157043475565,0,3.355959090083866,287688.28687576635
H270,West,322,80697.0,245.0,1238,29,0.7351495699801158,0,3.5335411232381535,291235.2023965793
H271,East,418,33732.0,647.0,1332,37,0.8361241906316622,0,4.395462527691343,122703.1043257776
H272,North,111,16314.0,883.0,625,41,0.508516097190885,0,4.358559465191523,70290.02696968838
H273,North,133,28954.0,571.0,620,64,0.6583340219644365,1,4.029851263343327,66765.0596592749
H274,West,417,62108.0,566.0,651,69,0.9768178965544698,1,2.7648267813962324,150960.9402903298
H275,East,266,92044.0,684.0,336,56,0.7842549925507794,1,2.878923428969184,289670.36972539214
H276,East,391,92505.0,891.0,1404,53,0.6245700441497717,0,,299793.2342392517
H277,Central,446,41668.0,914.0,1482,27,0.7556477228517444,1,3.942931958218875,145379.72825353968
H278,East,236,28061.0,167.0,1324,64,0.6679002091792485,1,4.6928461037785105,23284.353893836058
H279,East,68,84252.0,855.0,1881,58,0.7608000445248866,1,3.584501280636929,287583.93839111057
H280,East,226,44749.0,958.0,1401,64,0.5616133407852579,1,2.9021204348943654,159569.89104693334
H281,South,149,21907.0,208.0,1358,51,0.5650301803714459,1,3.8951058128724174,77262.6152208953
H282,Central,445,23777.0,864.0,593,37,0.5703357573993025,0,4.529380542164274,131220.59143490408
H283,North,494,98229.0,277.0,103,69,0.9605116980441524,0,4.354280153782325,140817.35693060682
H284,West,282,,926.0,765,57,0.8591204699872574,1,4.703626949187553,125793.76981454376
H285,North,452,96865.0,265.0,541,30,0.5795671283845373,1,3.1947552431221693,382869.6538402594
H286,Central,125,86818.0,997.0,128,48,0.5922910510451447,1,2.984884668169437,244734.4746650191
H287,West,314,28624.0,745.0,1232,43,0.8581064426867294,0,4.699541214854847,4558.344880123535
H288,Central,333,28321.0,64.0,709,40,0.5765202839481652,0,4.1439007819450575,15470.491024187373
H289,East,255,15488.0,206.0,1850,64,0.614935033734066,1,3.2773223250188854,203543.36843207167
H290,West,272,27574.0,,904,52,0.9720399480819955,0,4.355870126431273,84915.126986508
H291,East,433,10240.0,310.0,174,57,0.6251001971169317,0,4.53779596120092,105990.76224485783
H292,North,101,48221.0,206.0,937,65,0.8241998516818618,1,4.0374456008528306,151973.39991686025
H293,North,388,15478.0,96.0,1269,37,0.9795293308262598,0,4.219710274699787,42161.64812505145
H294,West,416,60645.0,373.0,227,67,0.6834054158984983,0,3.438149761106666,216599.77353815464
H295,West,193,24262.0,893.0,1976,69,0.5085828355224105,1,3.8467391683575975,17657.1662321856
H296,Central,422,57796.0,734.0,141,49,0.6196321723069633,0,3.810397926815406,115468.36900716987
